sample	cluster
STP_47571_S257_L004	cluster_163
STP_47665_S256_L004	cluster_164
STP_47837_S235_L004	cluster_26
STP_47995_S234_L004	cluster_72
STP_48351_S230_L004	cluster_83
STP_48478_S220_L004	cluster_41
STP_48479_S237_L004	cluster_165
STP_48481_S253_L004	cluster_87
STP_49344_S255_L004	cluster_165
STP_49433_S226_L004	cluster_48
STP_50113_S225_L004	cluster_48
STP_50745_S214_L004	cluster_4
STP_51035_S242_L004	cluster_166
STP_51755_S215_L004	cluster_167
STP_52438_S259_L004	cluster_42
STP_52569_S218_L004	cluster_168
STP_52570_S258_L004	cluster_169
STP_52848_S216_L004	cluster_164
STP_53061_S254_L004	cluster_170
STP_53446_S221_L004	cluster_35
STP_55236_S219_L004	cluster_6
STP_56121_S238_L004	cluster_171
STP_56124A_S217_L004	cluster_41
STP_56124B_S236_L004	cluster_41
STP_57060_S224_L004	cluster_155
STP_58121_S251_L004	cluster_171
